word	start_time	end_time	raw_prominence	norm_prominence
meg	384.600	384.780	4.517	0.334
mange	384.780	385.080	4.647	0.345
bilder	385.080	385.450	6.637	0.510
jeg	387.370	387.540	4.090	0.279
lærte	387.540	387.910	9.416	1.000
aldri	387.910	388.250	5.981	0.535
sjakk	388.250	388.450	2.027	0.000
som	390.400	390.610	2.269	0.000
ung	390.610	390.870	2.923	0.138
lærte	390.870	391.180	5.270	0.633
jeg	391.180	391.250	2.372	0.022
aldri	391.250	391.590	7.012	1.000
sjakk	391.590	392.090	2.412	0.030
johannes	394.500	394.950	7.698	1.000
strakk	394.950	395.300	4.641	0.454
ut	395.300	395.560	2.103	0.000
etter	395.560	395.750	2.372	0.048
treninga	395.750	396.280	6.859	0.850
i	397.520	397.610	0.758	0.000
forgårs	397.610	398.340	12.558	1.000
strakk	398.340	398.760	3.724	0.251
johannes	398.760	399.240	5.622	0.412
ut	399.240	399.480	2.271	0.128
etter	399.480	399.670	2.740	0.168
treninga	399.670	400.150	7.996	0.613
eline	402.490	402.880	8.922	0.783
forventa	402.880	403.310	6.993	0.555
seg	403.310	403.470	3.517	0.142
ikke	403.470	403.650	2.318	0.000
lønnsøkning	403.650	404.440	10.748	1.000
på	405.380	405.500	2.035	0.000
fredag	405.500	405.950	12.283	1.000
forventa	405.950	406.350	5.756	0.363
ikke	406.350	406.490	2.186	0.015
eline	406.490	406.930	9.104	0.690
seg	406.930	407.100	3.620	0.155
en	407.100	407.210	2.512	0.047
lønnsøkning	407.210	407.960	8.502	0.631
vi	410.210	410.350	2.161	0.021
spiste	410.350	410.680	2.655	0.059
ikke	410.680	410.850	1.890	0.000
blåbærene	410.850	411.470	14.914	1.000
i	413.460	413.530	1.066	0.000
forgårs	413.530	414.030	10.601	1.000
spiste	414.030	414.320	2.731	0.175
vi	414.320	414.390	1.261	0.020
ikke	414.390	414.580	2.604	0.161
blåbærene	414.580	415.140	8.786	0.810
jeg	417.310	417.450	3.273	0.221
gikk	417.450	417.630	2.508	0.014
ut	417.630	417.860	2.457	0.000
etter	417.860	418.050	2.708	0.068
jobb	418.050	418.280	6.151	1.000
i	420.210	420.320	0.880	0.000
forgårs	420.320	420.830	9.368	1.000
gikk	420.830	421.040	2.482	0.189
jeg	421.040	421.110	2.087	0.142
ut	421.110	421.370	3.356	0.292
etter	421.370	421.560	2.476	0.188
jobb	421.560	421.730	4.763	0.458
siv	423.800	424.160	3.890	0.491
slo	424.160	424.400	3.082	0.344
opp	424.400	424.510	1.921	0.132
med	424.510	424.620	1.196	0.000
kjæresten	424.620	425.160	6.682	1.000
i	426.930	427.040	1.054	0.001
forgårs	427.040	427.970	10.929	1.000
slo	427.970	428.220	3.292	0.227
siv	428.220	428.680	4.006	0.300
opp	428.680	428.890	2.546	0.152
med	428.890	429.010	1.044	0.000
kjæresten	429.010	429.500	5.906	0.492
johannes	431.490	431.960	7.414	1.000
lærte	431.960	432.270	6.622	0.835
aldri	432.270	432.550	6.291	0.766
sjakk	432.550	432.780	2.613	0.000
som	434.410	434.680	2.330	0.030
ung	434.680	435.060	4.596	0.315
lærte	435.060	435.570	10.038	1.000
johannes	435.570	436.050	6.033	0.496
aldri	436.050	436.380	5.319	0.406
sjakk	436.380	436.550	2.091	0.000
jens	439.210	439.670	5.311	0.341
solgte	439.670	440.140	5.177	0.326
ikke	440.140	440.400	2.188	0.000
maleriene	440.400	441.020	11.345	1.000
i	442.620	442.690	0.811	0.000
forgårs	442.690	443.290	11.303	1.000
solgte	443.290	443.660	3.855	0.290
ikke	443.660	443.850	1.895	0.103
jens	443.850	444.160	3.543	0.260
maleriene	444.160	444.770	7.091	0.598
siv	446.750	447.160	3.120	0.000
bakte	447.160	447.510	4.971	0.537
alltid	447.510	447.960	5.124	0.581
julebrød	447.960	448.460	6.568	1.000
som	449.810	450.020	1.920	0.000
ung	450.020	450.250	3.730	0.345
bakte	450.250	450.660	6.212	0.817
alltid	450.660	451.030	6.591	0.890
siv	451.030	451.470	4.839	0.556
julebrød	451.470	451.960	7.171	1.000
johannes	454.490	454.980	7.232	1.000
betalte	454.980	455.420	7.013	0.958
meg	455.420	455.580	2.027	0.001
hundre	455.580	455.800	2.181	0.030
kroner	455.900	456.050	2.023	0.000
i	457.420	457.500	0.806	0.000
forfjor	457.500	458.150	14.077	1.000
betalte	458.150	458.660	6.202	0.407
johannes	458.660	459.040	5.251	0.335
meg	459.040	459.210	1.910	0.083
hundre	459.210	459.500	3.008	0.166
kroner	459.500	459.930	4.399	0.271
eline	462.520	462.870	8.199	0.611
lekte	462.870	463.230	6.453	0.000
aldri	463.230	463.530	9.309	1.000
brannmann	463.530	464.110	7.477	0.359
som	465.650	465.900	1.841	0.000
barn	465.900	466.210	7.726	1.000
lekte	466.210	466.560	3.980	0.363
aldri	466.560	466.880	7.272	0.923
eline	466.880	467.260	6.579	0.805
brannmann	467.260	467.820	7.527	0.966
vi	469.890	470.070	3.538	0.534
rydda	470.070	470.380	5.844	1.000
opp	470.380	470.420	0.895	0.000
på	470.420	470.600	2.855	0.396
rommet	470.600	470.950	5.205	0.871
på	472.720	472.840	1.810	0.074
fredag	472.840	473.290	10.133	1.000
så	473.290	473.450	3.187	0.228
rydda	473.450	473.710	7.407	0.697
vi	473.710	473.810	2.177	0.115
opp	473.810	473.890	1.651	0.057
på	473.890	474.040	1.140	0.000
rommet	474.040	474.390	6.031	0.544
johannes	476.380	477.060	10.085	1.000
satte	477.060	477.360	3.505	0.150
seg	477.360	477.610	6.182	0.496
ikke	477.610	477.780	2.347	0.000
bakerst	477.780	478.420	8.163	0.752
i	479.630	479.720	0.948	0.000
forgårs	479.720	480.280	11.091	1.000
satte	480.280	480.620	2.590	0.162
ikke	480.620	480.780	1.721	0.076
johannes	480.780	481.170	6.887	0.586
seg	481.170	481.280	1.865	0.090
bakerst	481.280	481.970	7.405	0.637
eline	484.080	484.420	8.389	1.000
holdt	484.420	484.720	5.666	0.505
ut	484.720	484.930	2.887	0.000
hele	484.930	485.260	7.841	0.900
kampen	485.260	485.730	5.272	0.433
på	487.220	487.320	0.917	0.000
fredag	487.320	487.790	9.851	1.000
holdt	487.790	488.130	4.004	0.346
eline	488.130	488.470	5.823	0.549
ut	488.470	488.680	2.723	0.202
hele	488.680	488.940	3.965	0.341
kampen	488.940	489.400	4.058	0.352
vi	491.580	491.720	1.040	0.000
kjørte	491.720	492.030	4.851	0.538
aldri	492.030	492.360	7.337	0.890
slalåm	492.360	492.830	8.118	1.000
i	494.540	494.630	1.152	0.000
fjor	494.630	494.960	4.623	0.354
kjørte	494.960	495.290	5.220	0.415
vi	495.290	495.360	1.862	0.072
aldri	495.360	495.800	10.950	1.000
slalåm	495.800	496.190	7.864	0.685
jeg	498.620	498.760	2.605	0.154
slo	498.760	498.990	4.531	0.504
opp	498.990	499.100	1.757	0.000
med	499.100	499.230	1.824	0.012
kjæresten	499.230	499.760	7.264	1.000
i	501.560	501.670	1.095	0.000
forfjor	501.670	502.160	9.171	1.000
så	502.160	502.280	1.299	0.025
slo	502.280	502.700	6.270	0.641
jeg	502.700	502.780	3.030	0.240
opp	502.780	502.920	2.002	0.112
med	502.920	503.020	1.277	0.023
kjæresten	503.020	503.530	5.402	0.533
eline	505.980	506.340	6.872	0.963
lærte	506.340	506.650	7.036	1.000
seg	506.650	506.770	2.682	0.000
engelsk	506.770	507.430	3.571	0.204
i	508.830	508.920	0.678	0.000
forgårs	508.920	509.500	10.083	1.000
lærte	509.500	509.820	6.229	0.590
eline	509.820	510.160	5.274	0.489
seg	510.160	510.300	1.897	0.130
engelsk	510.300	510.910	2.780	0.223
siv	512.890	513.340	2.380	0.043
forventa	513.340	513.770	6.945	0.584
seg	513.770	513.900	2.018	0.000
ikke	513.900	514.060	2.438	0.050
lønnsøkning	514.060	514.990	10.456	1.000
i	516.060	516.140	0.587	0.000
forfjor	516.140	516.900	15.480	1.000
forventa	517.100	517.520	5.158	0.307
ikke	517.520	517.690	2.038	0.097
siv	517.690	517.990	3.222	0.177
seg	517.990	518.150	1.411	0.055
lønnsøkning	518.150	518.940	10.424	0.661
vi	524.990	525.150	3.099	0.245
ringte	525.150	525.480	4.947	0.907
ikke	525.480	525.700	2.414	0.000
kundene	525.700	526.210	5.208	1.000
på	528.130	528.240	1.296	0.000
fredag	528.240	528.670	11.781	1.000
så	528.670	528.810	2.483	0.113
ringte	528.810	529.080	3.048	0.167
vi	529.080	529.170	1.348	0.005
ikke	529.170	529.350	1.350	0.005
kundene	529.350	529.870	5.461	0.397
jens	532.150	532.470	6.077	1.000
mista	532.470	532.730	3.470	0.000
alltid	533.140	533.530	8.803	1.000
bussen	533.530	534.000	4.140	0.000
i	535.230	535.320	1.204	0.000
fjor	535.320	535.650	6.469	0.871
mista	535.650	536.010	5.393	0.693
alltid	536.010	536.340	7.247	1.000
jens	536.340	536.640	4.174	0.492
bussen	536.640	537.070	2.511	0.216
jeg	538.910	539.040	2.630	0.123
følte	539.040	539.340	4.846	1.000
meg	539.340	539.450	2.320	0.000
ikke	539.450	539.600	2.593	0.108
helt	539.600	539.830	4.211	0.749
frisk	539.830	540.180	3.946	0.644
i	541.860	541.940	0.563	0.000
forgårs	541.940	542.480	12.454	1.000
følte	542.480	542.730	4.024	0.291
jeg	542.730	542.800	2.498	0.163
meg	542.800	542.940	4.234	0.309
ikke	542.940	543.100	2.497	0.163
helt	543.100	543.340	4.417	0.324
frisk	543.340	543.910	3.833	0.275
johannes	545.840	546.350	7.899	0.854
tilbød	546.350	546.820	8.594	1.000
meg	546.820	547.010	3.849	0.000
jobben	547.010	547.390	7.034	0.671
i	548.780	548.860	0.431	0.000
forgårs	548.860	549.520	10.674	0.885
tilbød	549.520	550.230	12.002	1.000
johannes	550.230	550.630	6.138	0.493
meg	550.630	550.820	2.146	0.148
jobben	550.820	551.220	4.490	0.351
jens	553.170	553.520	5.127	0.578
bakte	553.520	553.820	3.337	0.224
ikke	553.820	554.020	2.203	0.000
kakene	554.020	554.580	7.261	1.000
på	556.300	556.450	0.860	0.000
fredag	556.450	556.920	10.199	1.000
bakte	556.920	557.220	3.653	0.299
ikke	557.220	557.360	1.168	0.033
jens	557.360	557.650	3.539	0.287
kakene	557.650	558.120	4.366	0.375
siv	559.910	560.290	3.074	0.000
spilte	560.290	560.630	4.674	0.340
alltid	560.630	560.900	5.689	0.555
ludo	560.900	561.380	7.783	1.000
som	563.010	563.260	2.850	0.000
barn	563.260	563.500	6.176	1.000
spilte	563.500	563.870	3.586	0.221
alltid	563.870	564.140	5.474	0.789
siv	564.140	564.580	5.056	0.663
ludo	564.580	565.000	5.334	0.747
johannes	566.800	567.470	8.063	1.000
slo	567.470	567.670	4.145	0.400
opp	567.670	567.800	3.383	0.284
med	567.800	567.920	1.529	0.000
kjæresten	567.920	568.400	6.987	0.835
på	569.880	570.020	1.149	0.016
fredag	570.020	570.400	9.394	1.000
slo	570.400	570.690	4.528	0.419
johannes	570.690	571.110	7.546	0.779
opp	571.110	571.280	1.357	0.041
med	571.280	571.390	1.016	0.000
kjæresten	571.390	571.850	4.297	0.392
jens	573.700	574.110	5.788	0.501
kjøpte	574.110	574.440	2.642	0.033
ikke	574.440	574.610	2.423	0.000
bøkene	574.610	575.090	9.145	1.000
i	576.780	576.860	1.406	0.099
